Species.ID,Length,Data.Type,Year,FisheryDependent,Length Type,Sex,Special,MPA
Chlorurus_sordidus,18.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,26.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,18.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,16,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,13.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.5,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.2,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,21.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.4,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,17.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,28.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,19.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.3,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,25.1,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,20.9,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,22.7,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,15.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,24.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,27.6,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,27.8,Fishery,2014,1,0,0,0,0
Chlorurus_sordidus,23.6,Fishery,2014,1,0,0,0,0
